program_id,layer_id,program_name,entity,mapping_code,inception,expiry,coverage,layer_signed_exposure,Layer_Signed_Premium_USD,launch_date,Bus Type,bus_family,vehicle_family,orbit,months_on_risk,spacecraft_id,spacecraft_name,bus_manufacturer,prime_manufacturer,placing_basis,on_risk_date,off_risk_date,override_action,sql_igr_qs_rate,XOL_Deductible_USD,XOL_Limit_USD,sql_months_left,sql_ext_qs,sql_net_ext_qs,sql_igr_qs_ceded,sql_net_of_qs,sql_xol_ceded,sql_total_fibl_ceded,sql_net_of_xol,renewed_to_program_id,renewed_from_program_id,renewed_to_status,renewed_to_inception,is_consortium,program_type,underwriting_status,layer_key,per_sc,manual_include,lloyds_bus_type,excluded_reason,on_risk_flag,rpf,leo_months_left,leo_debris_rpf,debris_dr,layer_occ,exposure_usd,equity_pct,s3123_factor,equity_usd,ext_qs,other_ext_ri,net_ext_qs,net_ext,s3123_eligible,s3123_qs,uw_year,igr_qs_rate,igr_qs_ceded,net_of_qs,xol_ceded,total_fibl_ceded,net_of_xol,pf_fihl,pf_ful,pf_fiid,pf_fibl_direct,pf_fibl_ceded,gd_fihl,gd_ful,gd_fiid,gd_fibl_direct,gd_fibl_ceded,sd_fihl,sd_ful,sd_fiid,sd_fibl_direct,sd_fibl_ceded
334331,3,CO3D L+15,FIID,ASC,2025-02-04,2026-12-31,Launch and Orbit,2196138.3852966106,710084.745762712,2025-07-26,,ASTROBUS/ASTROSAT/S-BUS FAMILY (AIRBUS),VEGA-C,LEO,15.0,13881.0,CO3D 3,Airbus Defence and Space (Toulouse),Airbus Defence and Space (Toulouse),,2025-07-26,2026-10-25,Add Layer,0.85,7500000.0,72500000.0,7.0,439227.67705932213,1756910.7082372885,1493374.1020016952,263536.6062355933,0.0,1493374.1020016952,263536.6062355933,,,,,True,,,334331_3,2196138.3852966106,False,,,1,0.4,7,0.6,0.4,1,2196138.3852966106,0.075,0.4166666666666667,68629.32454051908,439227.67705932213,0.0,1756910.7082372885,1756910.7082372885,True,183011.5321080509,2025,0.85,1493374.1020016952,263536.6062355933,0.0,1493374.1020016952,263536.6062355933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878455.3541186443,0.0,878455.3541186443,0.0,746687.0510008476
351444,3,Asiasat,FUL,ASO,2025-09-21,2026-09-20,In-Orbit,6581443.288,,2023-08-03,,MAXAR 1300 (FS-/LS-/SSL-1300),"FALCON 9, 5 & HEAVY",GEO-GSO,12.0,8834.0,ASIASAT 7,SSL (Space Systems/Loral - Part of Maxar),SSL (Space Systems/Loral - Part of Maxar),,2025-09-21,2026-09-20,Add Layer,0.5,50000000.0,245000000.0,0.0,1316288.6576,5265154.6304,2632577.3152,2632577.3152,0.0,2632577.3152,2632577.3152,,,,,True,,,351444_3,6581443.288,False,,,1,0.2,0,0.0,0.05,1,6581443.288,0.075,0.4166666666666667,205670.10275,1316288.6576,0.0,5265154.6304,5265154.6304,True,548453.6073333333,2025,0.5,2632577.3152,2632577.3152,0.0,2632577.3152,2632577.3152,329072.1644,329072.1644,0.0,0.0,164536.0822,658144.3288,658144.3288,0.0,0.0,329072.1644,329072.1644,329072.1644,0.0,0.0,164536.0822
351444,4,Asiasat,FUL,ASO,2025-09-21,2026-09-20,In-Orbit,4391752.569999999,,2012-04-23,,MAXAR 1300 (FS-/LS-/SSL-1300),PROTON,GEO-GSO,12.0,9267.0,AMOS 7 (ASIASAT 8),SSL (Space Systems/Loral - Part of Maxar),SSL (Space Systems/Loral - Part of Maxar),,2025-09-21,2026-09-20,Add Layer,0.5,50000000.0,245000000.0,0.0,878350.514,3513402.056,1756701.028,1756701.028,0.0,1756701.028,1756701.028,,,,,True,,,351444_4,4391752.569999999,False,,,1,0.2,0,0.0,0.05,1,4391752.569999999,0.075,0.4166666666666667,137242.26781249998,878350.514,0.0,3513402.0559999994,3513402.0559999994,True,365979.38083333336,2025,0.5,1756701.0279999997,1756701.0279999997,0.0,1756701.0279999997,1756701.0279999997,219587.6285,219587.6285,0.0,0.0,109793.81425,439175.257,439175.257,0.0,0.0,219587.6285,219587.6285,219587.6285,0.0,0.0,109793.81425
334331,4,CO3D L+15,FIID,ASC,2025-02-04,2026-12-31,Launch and Orbit,2196138.3852966106,710084.745762712,2025-07-26,,ASTROBUS/ASTROSAT/S-BUS FAMILY (AIRBUS),VEGA-C,LEO,15.0,13882.0,CO3D 4,Airbus Defence and Space (Toulouse),Airbus Defence and Space (Toulouse),,2025-07-26,2026-10-25,Add Layer,0.85,7500000.0,72500000.0,7.0,439227.67705932213,1756910.7082372885,1493374.1020016952,263536.6062355933,0.0,1493374.1020016952,263536.6062355933,,,,,True,,,334331_4,2196138.3852966106,False,,,1,0.4,7,0.6,0.4,1,2196138.3852966106,0.075,0.4166666666666667,68629.32454051908,439227.67705932213,0.0,1756910.7082372885,1756910.7082372885,True,183011.5321080509,2025,0.85,1493374.1020016952,263536.6062355933,0.0,1493374.1020016952,263536.6062355933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878455.3541186443,0.0,878455.3541186443,0.0,746687.0510008476
344664,4,Arabsat,FUL,ASO,2025-07-01,2026-06-30,Orbit,819140.0056261068,12658.2029683979,2012-12-03,,EUROSTAR E3000,NULL,GEO-GSO,12.0,8785.0,Arabsat 5C,Astrium Satellites SAS (Toulouse) (Part of EADS),Astrium Satellites SAS (Toulouse) (Part of EADS),,2025-07-01,2026-06-30,Add Layer,0.5,50000000.0,245000000.0,0.0,163828.00112522137,655312.0045008855,327656.00225044275,327656.00225044275,0.0,327656.00225044275,327656.00225044275,,,,,True,,,344664_4,819140.0056261068,False,,,1,0.2,0,0.0,0.05,1,819140.0056261068,0.075,0.4166666666666667,25598.125175815836,163828.00112522137,0.0,655312.0045008854,655312.0045008854,True,68261.6671355089,2025,0.5,327656.0022504427,327656.0022504427,0.0,327656.0022504427,327656.0022504427,40957.00028130534,40957.00028130534,0.0,0.0,20478.50014065267,81914.00056261069,81914.00056261069,0.0,0.0,40957.00028130534,40957.00028130534,40957.00028130534,0.0,0.0,20478.50014065267
344558,4,Eutelsat,FIID,ASO,2025-07-01,2026-06-30,Orbit,11679640.312677067,212519.19409697,2022-11-03,,SPACEBUS 4000,NULL,GEO-GSO,12.0,8814.0,W3C/E16A,Thales Alenia Space France (Cannes),Thales Alenia Space France (Cannes),,2025-07-01,2026-06-30,Add Layer,0.85,7500000.0,72500000.0,0.0,2335928.0625354135,9343712.250141654,7942155.412620406,1401556.8375212483,0.0,7942155.412620406,1401556.8375212483,,,,,True,,,344558_4,11679640.312677067,False,,,1,0.2,0,0.0,0.05,1,11679640.312677067,0.075,0.4166666666666667,364988.75977115834,2335928.0625354135,0.0,9343712.250141654,9343712.250141654,True,973303.3593897556,2025,0.85,7942155.412620406,1401556.8375212485,0.0,7942155.412620406,1401556.8375212485,583982.0156338534,0.0,583982.0156338534,0.0,496384.7132887754,1167964.0312677068,0.0,1167964.0312677068,0.0,992769.4265775508,583982.0156338534,0.0,583982.0156338534,0.0,496384.7132887754
344558,5,Eutelsat,FIID,ASO,2025-07-01,2026-06-30,Orbit,11922926.160296435,216945.949620866,2022-09-07,,EUROSTAR E3000,NULL,GEO-GSO,12.0,8837.0,AB7/E7WA,Astrium Satellites SAS (Toulouse) (Part of EADS),Astrium Satellites SAS (Toulouse) (Part of EADS),,2025-07-01,2026-06-30,Add Layer,0.85,7500000.0,72500000.0,0.0,2384585.232059287,9538340.928237148,8107589.789001576,1430751.1392355724,0.0,8107589.789001576,1430751.1392355724,2223,,NTU,2016-07-01,True,,,344558_5,11922926.160296435,False,,,1,0.2,0,0.0,0.05,1,11922926.160296435,0.075,0.4166666666666667,372591.4425092636,2384585.232059287,0.0,9538340.928237148,9538340.928237148,True,993577.1800247029,2025,0.85,8107589.789001576,1430751.139235572,0.0,8107589.789001576,1430751.139235572,596146.3080148217,0.0,596146.3080148217,0.0,506724.3618125985,1192292.6160296435,0.0,1192292.6160296435,0.0,1013448.723625197,596146.3080148217,0.0,596146.3080148217,0.0,506724.3618125985
344664,5,Arabsat,FUL,ASO,2025-07-01,2026-06-30,Orbit,9517167.33308259,156820.086628552,2013-05-14,,EUROSTAR E3000,NULL,GEO-GSO,12.0,8786.0,Arabsat BADR 7,Airbus Defence and Space (Toulouse),Airbus Defence and Space (Toulouse),,2025-07-01,2026-06-30,Add Layer,0.5,50000000.0,245000000.0,0.0,1903433.466616518,7613733.866466072,3806866.933233036,3806866.933233036,0.0,3806866.933233036,3806866.933233036,2223,,NTU,2016-07-01,True,,,344664_5,9517167.33308259,False,,,1,0.2,0,0.0,0.05,1,9517167.33308259,0.075,0.4166666666666667,297411.47915883095,1903433.466616518,0.0,7613733.866466072,7613733.866466072,True,793097.2777568826,2025,0.5,3806866.933233036,3806866.933233036,0.0,3806866.933233036,3806866.933233036,475858.3666541295,475858.3666541295,0.0,0.0,237929.18332706476,951716.733308259,951716.733308259,0.0,0.0,475858.3666541295,475858.3666541295,475858.3666541295,0.0,0.0,237929.18332706476
351444,5,Asiasat,FUL,ASO,2025-09-21,2026-09-20,In-Orbit,9380721.633849999,,2016-10-05,,MAXAR 1300 (FS-/LS-/SSL-1300),ARIANE 5,GEO-GSO,12.0,9607.0,ASIASAT 9,SSL (Space Systems/Loral - Part of Maxar),SSL (Space Systems/Loral - Part of Maxar),,2025-09-21,2026-09-20,Add Layer,0.5,50000000.0,245000000.0,0.0,1876144.32677,7504577.30708,3752288.65354,3752288.65354,0.0,3752288.65354,3752288.65354,2223,,NTU,2016-07-01,True,,,351444_5,9380721.633849999,False,,,1,0.2,0,0.0,0.05,1,9380721.633849999,0.075,0.4166666666666667,293147.55105781247,1876144.32677,0.0,7504577.307079999,7504577.307079999,True,781726.8028208333,2025,0.5,3752288.6535399994,3752288.6535399994,0.0,3752288.6535399994,3752288.6535399994,469036.0816925,469036.0816925,0.0,0.0,234518.04084625,938072.163385,938072.163385,0.0,0.0,469036.0816925,469036.0816925,469036.0816925,0.0,0.0,234518.04084625
344664,6,Arabsat,FUL,ASO,2025-07-01,2026-06-30,Orbit,14528089.890459506,339102.399257024,2014-05-26,,LM 2100,NULL,GEO-GSO,12.0,9559.0,Arabsat 6A,Lockheed Martin Commercial Space Systems,Lockheed Martin Commercial Space Systems,,2025-07-01,2026-06-30,Add Layer,0.5,50000000.0,245000000.0,0.0,2905617.978091901,11622471.912367605,5811235.956183802,5811235.956183802,0.0,5811235.956183802,5811235.956183802,,,,,True,,,344664_6,14528089.890459506,False,,,1,0.2,0,0.0,0.05,1,14528089.890459506,0.075,0.4166666666666667,454002.80907685956,2905617.978091901,0.0,11622471.912367605,11622471.912367605,True,1210674.1575382922,2025,0.5,5811235.956183802,5811235.956183802,0.0,5811235.956183802,5811235.956183802,726404.4945229753,726404.4945229753,0.0,0.0,363202.24726148765,1452808.9890459506,1452808.9890459506,0.0,0.0,726404.4945229753,726404.4945229753,726404.4945229753,0.0,0.0,363202.24726148765
